Datetime,Open,High,Low,Close,Adj Close,Volume
2023-05-15 09:15:00+05:30,43821.05078125,43862.8984375,43673.05078125,43783.30078125,43783.30078125,0
2023-05-15 09:20:00+05:30,43779.6484375,43809.75,43723.1484375,43772.75,43772.75,0
2023-05-15 09:25:00+05:30,43776.6484375,43808.05078125,43742.19921875,43775.75,43775.75,0
2023-05-15 09:30:00+05:30,43783.0,43839.3515625,43754.8984375,43794.3984375,43794.3984375,0
2023-05-15 09:35:00+05:30,43800.1015625,43917.0,43795.19921875,43908.5,43908.5,0
2023-05-15 09:40:00+05:30,43911.55078125,43943.1015625,43900.05078125,43940.3984375,43940.3984375,0
2023-05-15 09:45:00+05:30,43942.1484375,43964.25,43887.55078125,43893.55078125,43893.55078125,0
2023-05-15 09:50:00+05:30,43890.44921875,43961.05078125,43879.8984375,43935.05078125,43935.05078125,0
2023-05-15 09:55:00+05:30,43940.25,43941.19921875,43914.1484375,43922.6484375,43922.6484375,0
2023-05-15 10:00:00+05:30,43924.6484375,43959.75,43924.6484375,43959.75,43959.75,0
2023-05-15 10:05:00+05:30,43964.80078125,43970.1015625,43930.5,43951.80078125,43951.80078125,0
2023-05-15 10:10:00+05:30,43954.05078125,43977.80078125,43942.1484375,43973.19921875,43973.19921875,0
2023-05-15 10:15:00+05:30,43971.30078125,43977.5,43943.1484375,43961.3515625,43961.3515625,0
2023-05-15 10:20:00+05:30,43963.05078125,43965.5,43931.5,43943.80078125,43943.80078125,0
2023-05-15 10:25:00+05:30,43946.3984375,43969.69921875,43915.05078125,43937.6484375,43937.6484375,0
2023-05-15 10:30:00+05:30,43938.8984375,43949.55078125,43920.19921875,43928.25,43928.25,0
2023-05-15 10:35:00+05:30,43926.75,43958.1015625,43920.3515625,43956.8984375,43956.8984375,0
2023-05-15 10:40:00+05:30,43956.8515625,43986.0,43954.1015625,43969.75,43969.75,0
2023-05-15 10:45:00+05:30,43968.8984375,44002.5,43962.30078125,43973.1015625,43973.1015625,0
2023-05-15 10:50:00+05:30,43972.05078125,43980.3984375,43932.8515625,43936.6015625,43936.6015625,0
2023-05-15 10:55:00+05:30,43936.55078125,43977.3984375,43918.3984375,43976.55078125,43976.55078125,0
2023-05-15 11:00:00+05:30,43977.69921875,44021.6484375,43977.69921875,43997.05078125,43997.05078125,0
2023-05-15 11:05:00+05:30,43997.30078125,44011.80078125,43984.30078125,44006.19921875,44006.19921875,0
2023-05-15 11:10:00+05:30,44003.0,44041.8515625,44001.0,44015.25,44015.25,0
2023-05-15 11:15:00+05:30,44014.75,44029.0,44005.8515625,44028.19921875,44028.19921875,0
2023-05-15 11:20:00+05:30,44028.69921875,44043.94921875,44019.44921875,44043.94921875,44043.94921875,0
2023-05-15 11:25:00+05:30,44041.8984375,44049.75,44034.1484375,44037.6015625,44037.6015625,0
2023-05-15 11:30:00+05:30,44037.69921875,44055.8515625,44022.5,44039.19921875,44039.19921875,0
2023-05-15 11:35:00+05:30,44036.0,44040.19921875,44017.75,44020.3515625,44020.3515625,0
2023-05-15 11:40:00+05:30,44021.25,44051.19921875,44020.55078125,44043.1015625,44043.1015625,0
2023-05-15 11:45:00+05:30,44041.75,44056.0,44041.75,44048.55078125,44048.55078125,0
2023-05-15 11:50:00+05:30,44045.8984375,44071.75,44033.0,44060.3984375,44060.3984375,0
2023-05-15 11:55:00+05:30,44060.0,44060.0,44023.25,44026.55078125,44026.55078125,0
2023-05-15 12:00:00+05:30,44026.19921875,44027.19921875,44009.25,44022.69921875,44022.69921875,0
2023-05-15 12:05:00+05:30,44025.0,44069.8515625,44024.1015625,44043.3984375,44043.3984375,0
2023-05-15 12:10:00+05:30,44045.25,44060.80078125,44037.6484375,44048.3515625,44048.3515625,0
2023-05-15 12:15:00+05:30,44049.1015625,44052.5,44027.80078125,44036.1015625,44036.1015625,0
2023-05-15 12:20:00+05:30,44035.44921875,44053.6015625,44032.8515625,44043.05078125,44043.05078125,0
2023-05-15 12:25:00+05:30,44043.94921875,44048.1484375,44027.55078125,44033.6015625,44033.6015625,0
2023-05-15 12:30:00+05:30,44034.8515625,44040.05078125,44016.05078125,44016.8984375,44016.8984375,0
2023-05-15 12:35:00+05:30,44014.44921875,44055.1484375,44012.69921875,44055.1484375,44055.1484375,0
2023-05-15 12:40:00+05:30,44052.05078125,44075.1015625,44047.94921875,44074.44921875,44074.44921875,0
2023-05-15 12:45:00+05:30,44076.69921875,44092.30078125,44069.3984375,44088.30078125,44088.30078125,0
2023-05-15 12:50:00+05:30,44086.8984375,44093.05078125,44046.44921875,44075.6484375,44075.6484375,0
2023-05-15 12:55:00+05:30,44075.80078125,44086.0,44067.6484375,44078.3984375,44078.3984375,0
2023-05-15 13:00:00+05:30,44073.6484375,44082.6484375,44050.5,44060.80078125,44060.80078125,0
2023-05-15 13:05:00+05:30,44060.30078125,44061.80078125,44017.6484375,44030.3515625,44030.3515625,0
2023-05-15 13:10:00+05:30,44031.1484375,44076.55078125,44030.1015625,44064.0,44064.0,0
2023-05-15 13:15:00+05:30,44059.8984375,44065.3515625,44021.5,44059.3984375,44059.3984375,0
2023-05-15 13:20:00+05:30,44059.8515625,44066.6015625,44049.44921875,44063.5,44063.5,0
2023-05-15 13:25:00+05:30,44065.3515625,44073.19921875,44049.30078125,44058.25,44058.25,0
2023-05-15 13:30:00+05:30,44065.5,44070.19921875,44054.94921875,44063.19921875,44063.19921875,0
2023-05-15 13:35:00+05:30,44063.44921875,44083.3984375,44062.19921875,44074.5,44074.5,0
2023-05-15 13:40:00+05:30,44073.75,44120.1015625,44073.75,44112.1484375,44112.1484375,0
2023-05-15 13:45:00+05:30,44112.8515625,44121.25,44100.25,44101.1484375,44101.1484375,0
2023-05-15 13:50:00+05:30,44102.1015625,44115.69921875,44090.3984375,44110.6484375,44110.6484375,0
2023-05-15 13:55:00+05:30,44113.19921875,44140.25,44111.1484375,44112.5,44112.5,0
2023-05-15 14:00:00+05:30,44112.44921875,44122.25,44095.8515625,44111.8515625,44111.8515625,0
2023-05-15 14:05:00+05:30,44112.6484375,44117.25,44095.1015625,44104.1484375,44104.1484375,0
2023-05-15 14:10:00+05:30,44102.1015625,44144.30078125,44101.8515625,44133.80078125,44133.80078125,0
2023-05-15 14:15:00+05:30,44132.8984375,44148.19921875,44123.8515625,44129.80078125,44129.80078125,0
2023-05-15 14:20:00+05:30,44129.94921875,44151.69921875,44051.55078125,44086.1015625,44086.1015625,0
2023-05-15 14:25:00+05:30,44078.1484375,44103.0,44016.0,44036.1484375,44036.1484375,0
2023-05-15 14:30:00+05:30,44037.0,44064.1015625,44021.94921875,44053.80078125,44053.80078125,0
2023-05-15 14:35:00+05:30,44053.8984375,44069.6484375,44023.6015625,44069.6484375,44069.6484375,0
2023-05-15 14:40:00+05:30,44073.80078125,44109.69921875,44066.69921875,44098.55078125,44098.55078125,0
2023-05-15 14:45:00+05:30,44094.44921875,44116.0,44081.80078125,44101.1484375,44101.1484375,0
